condition,n_essays,n_topics,corpus_tfidf_diversity,corpus_embedding_diversity,within_topic_tfidf_similarity,within_topic_tfidf_diversity,within_topic_embedding_similarity,within_topic_embedding_diversity,n_topic_groups,mean_model_sentence_fraction,mean_essay_words,H_within_topic_vs_solo
solo,99,10,0.9513136174816613,0.7920296043157578,0.21969484602275985,0.7803051539772401,0.6406808793544769,0.35931912064552307,10.0,,378.9191919191919,0.0
gpt3,97,10,0.9517353055947831,0.7828099429607391,0.21198013154773107,0.7880198684522689,0.6711391746997833,0.32886082530021665,10.0,0.3714100038620091,371.9484536082474,-0.009886791642611433
instructgpt,100,10,0.9495264769342561,0.7893044650554657,0.25970598045508086,0.7402940195449191,0.7015433967113495,0.29845660328865053,10.0,0.35407398634894394,369.95,0.051276265738324216
