claim,verdict,corpus
InstructGPT co-writing homogenizes vs solo and GPT-3,Supported,Padmakumar
Any LM assistance homogenizes,Not supported,Padmakumar; CoAuthor
Higher accept rate lowers group diversity,Weak / mixed,CoAuthor
Model-only text narrower than human,Supported,OSF yd94z
Post-ChatGPT word diversity collapse,Not supported,OSF yd94z
Post-ChatGPT document homogenization,Weak / mixed,OSF yd94z
Transfer debt in public learning logs,Not testable,OSF jmz85
Unified cognitive convergence mechanism,Not established,All public corpora
