condition,block,llm_influence,cosine_diversity,mean_pairwise_distance,homogenization_index,mean_competence,transfer_score
control,cross_section,0.0,0.8346237076456212,5.226824952859863,0.0,0.6373991835482362,
shared_fixed,cross_section,0.8,0.2554080721495012,1.1816884692768692,0.6939841633894245,0.6121941773373006,
hetero_fixed,cross_section,0.8,0.5225590549175599,1.6531884655808162,0.3738986202632398,0.6244353240545676,
shared_adaptive,cross_section,0.8,0.7378290356192377,3.630915030965766,0.1159740265458242,0.5977700672613634,
shared_practice,transfer,0.8,0.3745839736896216,,0.5511941845663219,0.4848585561540248,0.4534251309220368
forced_practice,transfer,0.8,0.5961925578060633,,0.285675026548023,0.708240596898354,0.6733401875333246
