condition,n,within_topic_tfidf_diversity,within_topic_tfidf_similarity,within_topic_embedding_diversity,within_topic_embedding_similarity
solo,99,0.7803051539772401,0.21969484602275985,0.3593191146850586,0.6406808853149414
gpt3,97,0.7880198684522689,0.21198013154773107,0.32886082530021665,0.6711391746997833
instructgpt,100,0.7402940195449191,0.25970598045508086,0.2984565973281861,0.7015434026718139
gpt3_user_spans,96,0.8486861052670589,0.15131389473294116,0.3611184597015381,0.6388815402984619
gpt3_model_spans,94,0.8972031789938274,0.10279682100617257,0.45290124714374547,0.5470987528562545
instructgpt_user_spans,96,0.8317299597304225,0.1682700402695775,0.36357013583183284,0.6364298641681672
instructgpt_model_spans,98,0.8203176352461659,0.1796823647538341,0.31565286219120026,0.6843471378087997
