condition,n,pre-test_score_mean,pre-test_score_std,post-test_score_mean,post-test_score_std,transfer-learning_score_mean,transfer-learning_score_std,retention-learning_score_mean,retention-learning_score_std,number_of_times_requested_help_mean,number_of_times_requested_help_std,mental_effort_mean,mental_effort_std
question,105,13.457142857142857,2.5533860303096003,17.6,2.4518438901240143,6.276190476190476,2.3441631198789756,4.142857142857143,3.064776850417848,7.923809523809524,6.3665218708962845,6.742857142857143,1.5129477813232648
summary,110,13.445454545454545,2.5181410197132794,17.636363636363637,2.7485685105853106,6.4818181818181815,2.493962685145018,4.1909090909090905,3.3276584999932233,6.9818181818181815,4.808215099566896,6.572727272727272,1.7051411247203785
